1,1
1,2
1,10
2,10
2,6
2,17
3,30
3,14
3,7
3,9
4,9
4,2 
4,10
4,20
4,33
4,47
4,50
4,60
4,72
4,80
4,90
5,1
5,2
5,50
5,20
5,10
5,5
25,34
5,44
15,54
35,60
15,78
5,77
16,10
6,11
16,22
6,44
26,30
36,42
46,67
37,10
27,9
7,33
7,52
7,88
7,90
7,45
14,22
24,3
31,7
33,9
24,9
41,2 
24,10
43,20
24,30
24,40
64,50
54,60
34,70
14,80
10,1
11,2
12,10
32,80
12,6
22,17
43,30
33,14
23,7
23,9
41,7
23,9
54,9
41,2 
71,10
18,20
9,38
2,47
8,53
54,6
4,70
14,2
1,18
1,50
11,40
12,52
11,43
8,11
18,77
19,22
19,34
20,74
21,10
24,9
13,21
13,40
14,56
9,88
8,20





